Nodes Added,Swaps
1,0
2,1
3,2
4,1
5,2
6,2
7,3
8,3
9,4
10,2
11,3
12,3
13,4
14,3
15,4
16,4
17,5
18,4
19,5
20,5
21,6
22,3
23,4
24,4
25,5
26,4
27,5
28,5
29,6
30,4
31,5
32,5
33,6
34,5
35,6
36,6
37,7
38,5
39,6
40,6
41,7
42,6
43,7
44,7
45,8
46,4
47,5
48,5
49,6
50,5
51,6
52,6
53,7
54,5
55,6
56,6
57,7
58,6
59,7
60,7
61,8
62,5
63,6
64,6
65,7
66,6
67,7
68,7
69,8
70,6
71,7
72,7
73,8
74,7
75,8
76,8
77,9
78,6
79,7
80,7
81,8
82,7
83,8
84,8
85,9
86,7
87,8
88,8
89,9
90,8
91,9
92,9
93,10
94,5
95,6
96,6
97,7
98,6
99,7
100,7
101,8
102,6
103,7
104,7
105,8
106,7
107,8
108,8
109,9
110,6
111,7
112,7
113,8
114,7
115,8
116,8
117,9
118,7
119,8
120,8
121,9
122,8
123,9
124,9
125,10
126,6
127,7
128,7
129,8
130,7
131,8
132,8
133,9
134,7
135,8
136,8
137,9
138,8
139,9
140,9
141,10
142,7
143,8
144,8
145,9
146,8
147,9
148,9
149,10
150,8
151,9
152,9
153,10
154,9
155,10
156,10
157,11
158,7
159,8
160,8
161,9
162,8
163,9
164,9
165,10
166,8
167,9
168,9
169,10
170,9
171,10
172,10
173,11
174,8
175,9
176,9
177,10
178,9
179,10
180,10
181,11
182,9
183,10
184,10
185,11
186,10
187,11
188,11
189,12
190,6
191,7
192,7
193,8
194,7
195,8
196,8
197,9
198,7
199,8
200,8
201,9
202,8
203,9
204,9
205,10
206,7
207,8
208,8
209,9
210,8
211,9
212,9
213,10
214,8
215,9
216,9
217,10
218,9
219,10
220,10
221,11
222,7
223,8
224,8
225,9
226,8
227,9
228,9
229,10
230,8
231,9
232,9
233,10
234,9
235,10
236,10
237,11
238,8
239,9
240,9
241,10
242,9
243,10
244,10
245,11
246,9
247,10
248,10
249,11
250,10
251,11
252,11
253,12
254,7
255,8
256,8
257,9
258,8
259,9
260,9
261,10
262,8
263,9
264,9
265,10
266,9
267,10
268,10
269,11
270,8
271,9
272,9
273,10
274,9
275,10
276,10
277,11
278,9
279,10
280,10
281,11
282,10
283,11
284,11
285,12
286,8
287,9
288,9
289,10
290,9
291,10
292,10
293,11
294,9
295,10
296,10
297,11
298,10
299,11
300,11
301,12
302,9
303,10
304,10
305,11
306,10
307,11
308,11
309,12
310,10
311,11
312,11
313,12
314,11
315,12
316,12
317,13
318,8
319,9
320,9
321,10
322,9
323,10
324,10
325,11
326,9
327,10
328,10
329,11
330,10
331,11
332,11
333,12
334,9
335,10
336,10
337,11
338,10
339,11
340,11
341,12
342,10
343,11
344,11
345,12
346,11
347,12
348,12
349,13
350,9
351,10
352,10
353,11
354,10
355,11
356,11
357,12
358,10
359,11
360,11
361,12
362,11
363,12
364,12
365,13
366,10
367,11
368,11
369,12
370,11
371,12
372,12
373,13
374,11
375,12
376,12
377,13
378,12
379,13
380,13
381,14
382,7
383,8
384,8
385,9
386,8
387,9
388,9
389,10
390,8
391,9
392,9
393,10
394,9
395,10
396,10
397,11
398,8
399,9
400,9
401,10
402,9
403,10
404,10
405,11
406,9
407,10
408,10
409,11
410,10
411,11
412,11
413,12
414,8
415,9
416,9
417,10
418,9
